שם הצעת החוק,מדרג,מספר חוק,ניקוד,קישור להצעת החוק,הסבר הדירוג,הערות אחרות,הגיע להצבעה?,עבר?,יוזם ראשון,חתומים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק עבודת נשים (תיקון - הסדרי עבודה גמישים להורה עצמאי), התשפ'א-2021",,פ\24\1379,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158372,,,0,0,סעיד אלחרומי,מאזן גנאים,ווליד טאהא,מנסור עבאס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,סעיד אלחרומימאזן גנאיםווליד טאהאמנסור עבאס
"הצעת חוק חופשה שנתית (תיקון - ימי חופשה להורים שילדם נפטר), התשפ'א-2021",,פ\24\1380,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158500,,,0,0,אורית סטרוק,אבי דיכטר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אורית סטרוקאבי דיכטר
"הצעת חוק איסור ניתוק שירותי חשמל ומים למוסדות חינוך (תיקוני חקיקה), התשפ'א-2021",leebarliberty@gmail.com,פ\24\1381,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158067,"מכביד תקציבית, אבל מתקן עיוות, כל השוק נשלט על ידי הממשלה ואין בו תחרות.",,0,0,עופר כסיף,איימן עודה,סמי אבו שחאדה,עאידה תומא סלימאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עופר כסיףאיימן עודהסמי אבו שחאדהעאידה תומא סלימאן
"הצעת חוק ביטוח בריאות ממלכתי (תיקון - החזר הוצאות עבור נסיעה באמבולנס), התשפ'א-2021",leebarliberty@gmail.com,פ\24\1382,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158501,תוצאות הסקר. שוק בעייתי,,0,0,אורית סטרוק,אבי דיכטר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אורית סטרוקאבי דיכטר
"הצעת חוק זכויות החולה (תיקון - הסכמה מדעת של קטין), התשפ'א-2021",leebarliberty@gmail.com,פ\24\1383,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158557,"אוטונומיה וחירות לקטינים שיכולים לקחת החלטה על גורלם ובריאותם. לא בטוח שמספיק, אבל בעיני צעד נהדר לכיוון החרותי",,0,0,קארין אלהרר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קארין אלהרר
"הצעת חוק הגנת הצרכן (תיקון - איסור פרסום כפוי במענה טלפוני), התשפ'א-2021",,פ\24\1384,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157663,,,0,0,עופר כסיף,איימן עודה,סמי אבו שחאדה,עאידה תומא סלימאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עופר כסיףאיימן עודהסמי אבו שחאדהעאידה תומא סלימאן
"הצעת חוק משק החשמל (תיקון - איסור ניתוק חשמל), התשפ'א-2021",dup_laws_bot,פ\24\1385,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158066,"מוצע לאסור על בעל רישיון ספק שירות חיוני (חברת החשמל) לנתק צרכן מאספקת חשמל.' אין להפוך שום אדם או חברה לעבד המספק שירותים בחינם לאדם אחר. בעלות תוטל על שאר צרכני החברה, ולאחר הפרטת חברת החשמל יוטל גם על בעלי המניות. ראה חוק
פ/145/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081656",,0,0,עופר כסיף,איימן עודה,סמי אבו שחאדה,עאידה תומא סלימאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עופר כסיףאיימן עודהסמי אבו שחאדהעאידה תומא סלימאן
"הצעת חוק הספריה הלאומית (תיקון - פטור ממס והשתתפות המדינה בתקציב), התשפ'א-2021",,פ\24\1386,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157666,,,0,0,עופר כסיף,איימן עודה,עאידה תומא סלימאן,אמילי חיה מואטי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עופר כסיףאיימן עודהעאידה תומא סלימאןאמילי חיה מואטי
"הצעת חוק איסור פרסומת והגבלת השיווק של מוצרי טבק ועישון (תיקון - ביטול החרגת העיתונות המודפסת), התשפ'א-2021",,פ\24\1387,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157495,,,1,0,עופר כסיף,איימן עודה,סמי אבו שחאדה,עאידה תומא סלימאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עופר כסיףאיימן עודהסמי אבו שחאדהעאידה תומא סלימאן
"הצעת חוק זכויות הסטודנט (תיקון - הגבלת דמי רישום), התשפ'א-2021",dup_laws_bot,פ\24\1388,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158019,"ראה חוק
פ/1176/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2139626",,0,0,עופר כסיף,איימן עודה,סמי אבו שחאדה,עאידה תומא סלימאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עופר כסיףאיימן עודהסמי אבו שחאדהעאידה תומא סלימאן
"הצעת חוק הבטחת פיצויים לתושבי מתחם פארק חורשות (אבו-כביר), התשפ'א-2021",leebarliberty@gmail.com,פ\24\1389,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157493,מעודד פגיעה בזכויות קניין. נטל על הקופה הציבורית. מתגמל פולשי מקרקעין,,1,0,עופר כסיף,עאידה תומא סלימאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עופר כסיףעאידה תומא סלימאן
"הצעת חוק לתיקון פקודת מס הכנסה (ניכוי בגין הוצאות טיפול בילדים), התשפ'א-2021",,פ\24\1390,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158465,,,0,0,מירב בן ארי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מירב בן ארי
הצעת חוק-יסוד: הממשלה (תיקון - השכלת ראש הממשלה),kirill2785@gmail.com,פ/1391/24,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156586,לא קשור לליברליזם.,,0,0,ישראל אייכלר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ישראל אייכלר
"הצעת חוק סמכות ואחריות הורית (משמורת), התשפ'א-2021",,פ\24\1392,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157041,,,0,0,מרב מיכאלי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מרב מיכאלי
"הצעת חוק הביטוח הלאומי (תיקון - דמי פגיעה לעצמאי), התשפ'א-2021",dup_laws_bot,פ\24\1393,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158707,"כל 'הטבה' נוספת לעצמאים תבוא על חשבון העלאת המיסוי שנקרא 'ביטוח' לאומי שהם יצטרכו לשלם. עדיף להשאיר לביטוח פרטי למי שחשוב לו לקבל דמי פגיעה עבור 12 הימים הראשונים לאחר הפגיעה. ראה חוק
פ/98/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085608",,0,0,ולדימיר בליאק,מיקי לוי,רון כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ולדימיר בליאקמיקי לוירון כץ
"הצעת חוק משבר נגיף הקורונה החדש (הגנה על שוק הדיור) (תיקוני חקיקה), התשפ״א-2021",dup_laws_bot,פ\24\1394,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157699,"מבטל תשלומי שכירות לתקופת הקורונה ובעצם מטיל אותם על משלמי המיסים או על משכירים של יותר מ5 דירות ראה חוק
פ/1068/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087306",,0,0,עופר כסיף,איימן עודה,סמי אבו שחאדה,עאידה תומא סלימאן,ג'ידא רינאוי-זועבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עופר כסיףאיימן עודהסמי אבו שחאדהעאידה תומא סלימאןג'ידא רינאוי-זועבי
"הצעת חוק לתיקון פקודת מס הכנסה (הפחתת מס רווחי הון), התשפ""א-2021",kirill2785@gmail.com,פ/1395/24,3,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156078,תורם לחופש כלכלי.,,0,0,חוה אתי עטייה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חוה אתי עטייה
"הצעת חוק הלוואות לדיור (תיקון - מענק מיוחד לרכישת דירת מגורים מזכה באזור עדיפות לאומית), התשפ""א-2021",bignafcomp@gmail.com,פ/1396/24,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158410,"הצעה זו מבקשת להפנות את ההשקעות של הרוכשים לחיזוקם של יישובי עדיפות לאומית' דהיינו עיוות הקצאת משאבים על חשבון משלמי המיסים. 'יינתן מענק מיוחד בסכום של 100,000 שקלים חדשים לרכישת דירת מגורים' יקר",,1,0,יעקב טסלר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יעקב טסלר
"הצעת חוק טיפול בחולי נפש (תיקון - התמכרות פסיכוטית לחומרים פסיכו-אקטיביים), התשפ'א-2021",,פ\24\1397,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158702,,,0,0,מיכל וולדיגר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכל וולדיגר
"הצעת חוק הביטוח הלאומי (תיקון - מועד לתביעת גמלת כסף והתקופה שבעדה שולמה), התשפ""א-2021",kirill2785@gmail.com,פ/1398/24,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158528,קשור בצורה מזערית לליברליות.,,0,0,קטי קטרין שטרית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קטי קטרין שטרית
"הצעת חוק החזקת תכשיר אפינפרין במוסדות חינוך ובמקומות ציבוריים (תיקון - החזקת תכשיר אפינפרין בבית אוכל), התשפ""א-2021",kirill2785@gmail.com,פ/1399/24,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158513,חוק עם שינוי זהה כבר דורג https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158513,,0,0,חוה אתי עטייה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חוה אתי עטייה
"הצעת חוק שכר מינימום (תיקון - שכר מינימום לעובד שטרם מלאו לו 18 שנים), התשפ'א-2021",dup_laws_bot,פ\24\1400,-3,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158531,"ראה חוק
פ/751/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081211",,0,0,ג'ידא רינאוי-זועבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ג'ידא רינאוי-זועבי
"הצעת חוק סדר הדין הפלילי (סמכויות אכיפה - מעצרים) (תיקון - מעצר עד תום ההליכים בגין עבירה של החזקת נשק שלא כדין), התשפ'א-2021",,פ\24\1401,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158183,,,0,0,יואב סגלוביץ',אלעזר שטרן,קארין אלהרר,אחמד טיבי,סמי אבו שחאדה,מירב כהן,עידן רול,אבתיסאם מראענה,ווליד טאהא,אוסאמה סעדי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יואב סגלוביץ'אלעזר שטרןקארין אלהרראחמד טיביסמי אבו שחאדהמירב כהןעידן רולאבתיסאם מראענהווליד טאהאאוסאמה סעדי
הצעת חוק-יסוד: הכנסת (תיקון - תקופת צינון והגבלת כהונה לראש ממשלה ולראש הממשלה החלופי),,פ\24\1402,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158686,,,0,0,יועז הנדל,גדעון סער,יפעת שאשא ביטון,זאב בנימין בגין,זאב אלקין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יועז הנדלגדעון סעריפעת שאשא ביטוןזאב בנימין בגיןזאב אלקין
"הצעת חוק שכר מינימום (תיקון - עוולה נזיקית וקובלנה), התשפ'א-2021",,פ\24\1403,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158524,,,0,0,ג'ידא רינאוי-זועבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ג'ידא רינאוי-זועבי
"הצעת חוק הפסקת היריון, התשפ'א-2021",,פ\24\1404,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158641,,,0,0,עאידה תומא סלימאן,איימן עודה,עופר כסיף,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עאידה תומא סלימאןאיימן עודהעופר כסיף
"הצעת חוק ביטוח בריאות ממלכתי (תיקון - העברת שירותי הגמילה לאחריות קופות החולים), התשפ'א-2021",,פ\24\1405,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158701,,,1,0,מיכל וולדיגר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכל וולדיגר
"הצעת חוק איסור לשון הרע (תיקון - הגבלת סעד לאישי ציבור), התשפ'א-2021",,פ\24\1406,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157494,,,0,0,עופר כסיף,איימן עודה,עאידה תומא סלימאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עופר כסיףאיימן עודהעאידה תומא סלימאן
"הצעת חוק שכר מינימום (תיקון - הצמדת שכר המינימום למדד המחירים לצרכן), התשפ'א-2021",,פ\24\1407,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158030,,,0,0,עופר כסיף,איימן עודה,סמי אבו שחאדה,עאידה תומא סלימאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עופר כסיףאיימן עודהסמי אבו שחאדהעאידה תומא סלימאן
"הצעת חוק שכר מינימום (תיקון - הצמדת שכר המינימום למדד המחירים לצרכן), התשפ'א-2021",,פ\24\1408,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158525,,,0,0,ג'ידא רינאוי-זועבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ג'ידא רינאוי-זועבי
"הצעת חוק הביטוח הלאומי (תיקון - השוואת קצבת נכות לשכר מינימום), התשפ'א-2021",dup_laws_bot,פ\24\1409,-3,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158635,"יז ראה חוק
פ/103/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081185",,0,0,ניצן הורוביץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ניצן הורוביץ
"הצעת חוק שוויון הזדמנויות בעבודה (תיקון - איסור הפליה על רקע זהות מגדרית), התשפ'א-2021",dup_laws_bot,פ\24\1410,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158649,"התנגדות ראה חוק
פ/1231/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085844",,0,0,ניצן הורוביץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ניצן הורוביץ
"הצעת חוק התכנון והבנייה (הוראות מיוחדות לעניין יישובי מיעוטים) (הוראת שעה), התשפ'א-2021",dup_laws_bot,פ\24\1411,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158340,"לכאורה הצעת חוק מגזרית, וזה אכן פוגע בדירוג שלה. אך משהה אכיפה שפוגעת בזכות הקניין עד להכנת תכניות מתאר שייקלו יותר על שימוש של אנשים ברכושם. אז חיובי. ראה חוק
פ/57/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085602",,0,0,ג'ידא רינאוי-זועבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ג'ידא רינאוי-זועבי
"הצעת חוק לתיקון פקודת התעבורה (קביעת קנס בגין גביית יתר של שכר הסעה במונית), התשפ'א-2021",,פ\24\1412,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157522,,,0,0,משה ארבל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,משה ארבל
"הצעת חוק התכנון והבנייה (תיקון - ייצוג הולם לאוכלוסייה הערבית במוסדות התכנון), התשפ'א-2021",dup_laws_bot,פ\24\1413,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158049,"הצעה הצהרתית גרידא. ראה חוק
פ/1009/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086302",,0,0,עופר כסיף,איימן עודה,סמי אבו שחאדה,עאידה תומא סלימאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עופר כסיףאיימן עודהסמי אבו שחאדהעאידה תומא סלימאן
"הצעת חוק להסדר התדיינויות בסכסוכי משפחה (הוראת שעה) (תיקון - הוספת גירושין בשיתוף פעולה), התשפ'א-2021",,פ\24\1414,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156663,,,0,0,קרן ברק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קרן ברק
"הצעת חוק איסור הפרטת שיקול דעת שלטוני (הסדרת מעמדה של החטיבה להתיישבות), התשפ'א-2021",,פ\24\1415,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158188,,,0,0,ניצן הורוביץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ניצן הורוביץ
"הצעת חוק איסור פרסום והפצת שמות נפגעים, התשפ""א-2021",bignafcomp@gmail.com,פ/1416/24,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156082,"פגיעה בחופש הביטוי, אך לצורך מניעת פגיעה ונטילת פרטיות. כנראה לגיטימי, בכל מקרה מינורי",,1,0,יצחק פינדרוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יצחק פינדרוס
"הצעת חוק הרשויות המקומיות (פיצול המועצה המקומית כסרא סמיע), התשפ'א-2021",,פ\24\1417,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158343,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
