שם הצעת החוק,מדרג,מספר חוק,ניקוד לחוק,קישור להצעה,הסבר הדירוג,הערות אחרות,הגיע להצבעה?,עבר?,יוזם ראשון,חתומים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק בתי המשפט (תיקון - מחלקות לעבירות מין), התשף-2020""",,פ/1687/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087909,,,0,0,מרב מיכאלי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מרב מיכאלי
"הצעת חוק איסור פרסומת והגבלת השיווק של מוצרי טבק ועישון (תיקון - דור ללא עישון), התשף-2020""",dup_laws_bot,פ\23\1688,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142277,"יז ראה חוק
פ/283/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081688",,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק איסור פרסומת והגבלת השיווק של מוצרי טבק ועישון (תיקון - סימון רכיבי מוצר טבק על גבי חפיסות או אריזות), התשף-2020""",dup_laws_bot,פ\23\1689,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142278,"מוצע לקבוע כי יצרן או יבואן של מוצרי טבק יהיה חייב לסמן את הרכיבים' טרטור קליל שנועד להעלות את מחירי הסיגריות במעט. ראה חוק
פ/504/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081718",,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק תשלום שכר היועץ המשפטי ומבקר העירייה (תיקוני חקיקה), התשף-2020""",dup_laws_bot,פ\23\1690,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142344,"ראה חוק
פ/580/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081988",,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק העונשין (תיקון - עבירת פיתוי קטין), התשף-2020""",,פ/1691/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086050,,,0,0,קרן ברק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קרן ברק
"הצעת חוק לתיקון פקודת העיריות (ביטול סמכויות גבייה מנהליות), התשף-2020""",,פ/1692/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142340,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק לתיקון פקודת התעבורה (שילוט אלקטרוני ומערכת כריזה באוטובוס בשפה הערבית), התשף-2020""",dup_laws_bot,פ\23\1693,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142287,"בישראל יש שפה רשמית, וחברותך האוטובוסים מחוייבים שלטלים בה. חברת אוטובוסים יכולה להחליט בעצמה על שילוט בשפות נוספות בהתאם לאוכלוסיה שבה האוטובוסים נותנים שרות. זה לא אחריות המידנה לדאוג שילוט בכל שפה אפשרית בכל מקום, בטח שלא בחברת אוטובוסים פרטית. ראה חוק
פ/448/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081757",,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק לתיקון פקודת התעבורה (שמירת מרחק בעת עקיפת רוכבי אופניים), התשף-2020""",,פ/1694/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142288,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק הגנת הפרטיות (תיקון - איסור פרסום שמו של נפגע), התשף-2020""",,פ/1695/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2140262,,,0,0,ישראל אייכלר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ישראל אייכלר
"הצעת חוק העונשין (תיקון - שימוש במידע בידי עובד הציבור), התשף-2020""",,פ/1696/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142321,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק ציון שם ההורה בטופס, התשף-2020""",,פ/1697/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142332,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק שעות עבודה ומנוחה (תיקון - הגבלת שעות העסקה של מתמחה ברפואה), התשף-2020""",bignafcomp@gmail.com,פ/1698/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086263,תיקון חשוב מאוד לבעייה חמורה. אך זה לא אמור להיעשות בכפייה חקיקתית.,,1,0,אורלי פרומן,מיכל שיר סגמן,אופיר סופר,אלי אבידר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אורלי פרומןמיכל שיר סגמןאופיר סופראלי אבידר
"הצעת חוק איסור הפליית אנשים עם עיוורון המלווים בכלבי נחייה (תיקון - אנשים עם מוגבלות המלווים בבעל חיים מסייע), התשף-2020""",,פ/1699/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142343,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק לתיקון פקודת הרופאים (פטור מבחינות לרופאים ממדינות מסוימות בחוץ-לארץ בעלי ניסיון של 5 שנים), התשף-2020""",,פ/1700/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2141323,,,0,0,אחמד טיבי,אוסאמה סעדי,סונדוס סאלח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אחמד טיביאוסאמה סעדיסונדוס סאלח
"הצעת חוק הביטוח הלאומי (תיקון - מועד לתביעת גמלת כסף והתקופה שבעדה תשולם), התשף-2020""",,פ/1701/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142724,,,0,0,קטי קטרין שטרית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קטי קטרין שטרית
"הצעת חוק דמי ביטוח לאומי ודמי ביטוח בריאות מופחתים למי שיצא לפרישה מוקדמת (תיקוני חקיקה), התשף-2020""",dup_laws_bot,פ\23\1702,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142337,". 'מטרת החוק היא להסדיר תשלום דמי ביטוח לאומי ודמי ביטוח בריאות מופחת לאוכלוסייה זו על מנת להביא להגדלת הכנסתה בעת הפרישה המוקדמת ובכך לחיזוק יציבותה הכלכלית.' נטענה הזאת רק מביאה להבנה שצריך להוריד את דמי ביטוח לאומי, וביטולם בכלל במטרה להגדיל את הכנסת של כלל אזרחי המדינה. ראה חוק
פ/446/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2082062",,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק הביטוח הלאומי (תיקון - הודעה לפני גביית חוב), התשף-2020""",dup_laws_bot,פ\23\1703,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142342,"ראה חוק
פ/423/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2082064",,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק הביטוח הלאומי (תיקון - פטור מתשלום דמי ביטוח), התשף-2020""",,פ/1704/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086971,,,0,0,קרן ברק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קרן ברק
"הצעת חוק המקרקעין (תיקון - התקנת מתקן פוטו וולטאי), התש""ף-2020",bignafcomp@gmail.com,פ/1705/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142569,לא ניתן לקבוע,,1,0,בועז טופורובסקי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,בועז טופורובסקי
"הצעת חוק החברות הממשלתיות (תיקון - ייצוג הולם בתאגידים שהוקמו בחוק ובחברות ממשלתיות), התשף-2020""",,פ/1706/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2140493,,,0,0,משה ארבל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,משה ארבל
"הצעת חוק בית המשפט לענייני משפחה (תיקון - בני זוג מאותו המין), התשף-2020""",dup_laws_bot,פ\23\1707,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085971,"כיום הגיור מוגבל מאד רק בבתי דין מיוחדים לגיור מטעם המדינה, שנוטים להחמיר. הצעת החוק מאפשרת להתגייר אצל רב מקומי, שזו הקלה בירוקרטית ונותנת חופש בחירה ותאפשר ללכת לרבניפ מקלים. יותר חשוב, מאפשר גם גיור אצל ראשי ישיבות, מה שמוציא את המונופול מידי המגזר הציבורי במעט. ראה חוק
פ/214/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085593",,0,0,איתן גינזבורג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,איתן גינזבורג
"הצעת חוק זכויות נפגעי עבירה (תיקון - חובת יידוע נפגעי עבירה בדבר זכויותיהם), התשף-2020""",,פ/1708/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086704,,,0,0,מרב מיכאלי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מרב מיכאלי
"חוק החזר מקדמה בשל ביטול אירוע (נגיף הקורונה החדש), התשפ""א–2020",bignafcomp@gmail.com,פ/1709/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2143784,"לרוב, לא נרצה שהמדינה תתערב בחוזים פרטיים, אך סביר שהחוזים לא ציינו מה לעשות במקרה של הוראה ממשלתית שלא לקיים את האירוע, אז החלטה לפה או לשם לא תיחשב התערבות. במקרה והיו חוזים שכן ציינו משהו במפורש, החוק הזה יתערב בכך וזה שלילי, אז שלילי ברמה נמוכה.",,1,1,הילה שי וזאן,יעקב מרגי,משה גפני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,הילה שי וזאןיעקב מרגימשה גפני
"הצעת חוק שירות המדינה (מינויים) (תיקון - ייצוג הולם בקרב העובדים בשירות המדינה), התשף-2020""",,פ/1710/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142813,,,0,0,יוליה מלינובסקי קונין,עודד פורר,יבגני סובה,אלי אבידר,חמד עמאר,אלכס קושניר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יוליה מלינובסקי קוניןעודד פורריבגני סובהאלי אבידרחמד עמאראלכס קושניר
"הצעת חוק האגודות העותומניות (רישום ופיקוח), התשף-2020""",dup_laws_bot,פ\23\1711,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2141302,"מטיל חובת שקיפות על עמותות שנהנות מכח חוקי רב ראה חוק
פ/8/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081196",,0,0,אלי אבידר,אביגדור ליברמן,עודד פורר,יבגני סובה,יוליה מלינובסקי קונין,חמד עמאר,אלכס קושניר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אלי אבידראביגדור ליברמןעודד פורריבגני סובהיוליה מלינובסקי קוניןחמד עמאראלכס קושניר
"הצעת החוק העותומני על האגודות (תיקון - שימוש בשם), התשף-2020""",,פ/1712/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2141304,,,0,0,אלי אבידר,אביגדור ליברמן,עודד פורר,יבגני סובה,יוליה מלינובסקי קונין,חמד עמאר,אלכס קושניר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אלי אבידראביגדור ליברמןעודד פורריבגני סובהיוליה מלינובסקי קוניןחמד עמאראלכס קושניר
"הצעת חוק התכנון והבנייה (תיקון - הגדרת חדר מחוזק כמרחב מוגן), התשף-2020""",,פ/1713/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2141966,,,0,0,משה ארבל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,משה ארבל
"הצעת חוק חופש המידע (תיקון - שקיפות בקבלת החלטות בתקופת התפשטות נגיף הקורונה), התשף-2020""",bignafcomp@gmail.com,פ/1714/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142999,"שקיפות ממשלתית נותנת כח לפרט. במיוחד במקרה של הגבלות כל כך חמורות. הוראת שעה, אז נמוך.",,1,0,עידן רול,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עידן רול
"הצעת חוק שמירת הסביבה החופית (תיקון - התאמת תכניות ישנות), התשף-2020""",bignafcomp@gmail.com,פ/1715/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142276,פגיעה חמורה בזכויות הקניין של בעלי קרקעות שהסתמכו על תכנית מסוימת. ציון נמוך בגלל הפגיעה במספר מועט יחסית של בעלי קרקעות ובגלל שמוצע לתת להם קרקע אחרת בעלת זכויות שהם ציפו להן.,,0,0,מיקי חיימוביץ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיקי חיימוביץ'
"הצעת חוק המרכז לגביית קנסות, אגרות והוצאות (תיקון - פיצויים שהוטלו על ידי בית משפט צבאי), התש""ף-2020",bignafcomp@gmail.com,פ/1716/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2140959,"לא ניתן לקבוע, אך צריך להעביר את הדיונים האלה לבתי דין אזרחיים ולבטל את הממשל הצבאי ביו""ש.",,1,0,אילת שקד,משה ארבל,עידן רול,מכלוף מיקי זוהר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אילת שקדמשה ארבלעידן רולמכלוף מיקי זוהר
"הצעת חוק הפרשנות (תיקון - הגדרת הפליה על רקע זהות מגדרית או נטייה מינית), התשף-2020""",,פ/1717/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2143186,,,0,0,עפר שלח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עפר שלח
"הצעת חוק התכנון והבנייה (תיקון - תסקיר גישה ובטיחות בנתיבי תנועה ציבוריים), התשף-2020""",,פ/1718/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142282,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק איסור שימוש ברכב ממשלתי לשר וסגן שר ביום המנוחה השבועי ובחג, התשף-2020""",dup_laws_bot,פ\23\1719,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2140974,"הטרלת הממשלה ראה חוק
פ/63/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081395",,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
הצעת חוק-יסוד: הממשלה (תיקון - הגבלת תקופת כהונה של ראש הממשלה),,פ/1720/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2141779,ממשל לא קשור,,0,0,אחמד טיבי,אוסאמה סעדי,סונדוס סאלח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אחמד טיביאוסאמה סעדיסונדוס סאלח
"הצעת חוק התכנון והבנייה (תיקון - פרסום נאות), התשף-2020""",,פ/1721/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142293,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק לתיקון פקודת היערות (חובת פרסום לציבור על ידי הצבת שלט), התשף-2020""",,פ/1722/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142301,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק חובת שימוש חוזר במי מזגנים, התשף-2020""",,פ/1723/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142302,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק הרשויות המקומיות (זכויות וחובות של חברי מועצה), התשף-2020""",,פ/1724/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142323,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק הרשויות המקומיות (גמול השתתפות בישיבות והחזר הוצאות לחברי מועצה), התשף-2020""",knaan.harpaz@gmail.com,פ/1725/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142325,"החזר הוצאות לחברי מועצה - הופך את החברות לפחות לא כלכלית, ומפחית את האטרקטיביות של שחיתות בתפקיד זה",,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק מרשם האוכלוסין (תיקון - ביטול סעיף המין בתעודת הזהות), התשף-2020""",dup_laws_bot,פ\23\1726,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142339,"לא קשור לליברליות ראה חוק
פ/195/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081600",,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק לתיקון פקודת היערות (פקידי יערות ברשות מקומית), התשף-2020""",,פ/1727/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2142299,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
